Naptan_Atco,Stop_Name
490013033N,BROOMFIELD ROAD_LP
490013033S,BROOMFIELD ROAD_LA
490015186A,QUEENS AVENUE_A
490013032S,SURBITON HEALTH CENTRE_SN
490013032N,SURBITON HEALTH CENTRE_SK
490013038N,SOUTH TERRACE/SURBITON TELEPHONE EXCHANGE_SL
490007672S,HALL DRIVE_DA
490007672N,HALL DRIVE_DR
490008143C,ST PAUL'S ROAD / HIGHBURY CORNER_C
490015187F,MUSWELL HILL_F
490008143D,HIGHBURY CORNER_D
490005754E,CRESSWELL GARDENS_GB
490005754W,CRESSWELL GARDENS_GF
490010187K,NEVERN PLACE_K
490015187E,QUEENS AVENUE_E
490007547S,GROSVENOR PARK ROAD_K
490012943N,ST SAVIOUR'S CHURCH_ME
490009233W,LLOYD PARK / WILLIAM MORRIS GALLERY_BD
490007017E,FRIARY ROAD_E
490004789E,CARLISLE AVENUE
490010949W,PERRYN ROAD
490007017F,FRIARY ROAD_F
490006691W,EXHIBITION ROAD_RB
490011097N,PONT STREET_KM
490015320Q,WALES FARM ROAD_Q
490011937N,HILARY ROAD_U
490012942N,ST SAVIOUR'S CHURCH_OH
490003456N,UXBRIDGE ROAD_OG
490012067E,GLENDUN ROAD_S
490008744X,KING FAHAD ACADEMY_P
490011097S,PONT STREET_KL
490012016N,SHAA ROAD_EU
490012016S,SHAA ROAD_EX
490015431N,ACTON PARK / GREENVIEW CLOSE_EW
490015431S,ACTON PARK / GREENVIEW CLOSE_EY
490015285S,CHURCH STREET MARKET_EB
490007679R,SUTHERLAND AVENUE_R
490004805S2,CARLTON VALE_KE
490010200C,ST PAUL'S CHURCHYARD_SH
490005085N,CHEPSTOW CRESCENT_PU
490005085S,CHEPSTOW CRESCENT_PX
490005513E,WESTBOURNE GROVE / COLVILLE ROAD_PK
490005513W,COLVILLE ROAD_PN
490012550N,STANLEY GARDENS_PT
490012550S,CHEPSTOW VILLAS_PS
490006476N,PORTOBELLO AND GOLBORNE MARKET_PP
490003399S,PORTOBELLO AND GOLBORNE MARKET_PQ
490004099N,BLENHEIM CRESCENT_PR
490011158E,POWIS GARDENS_PB
490011158W,POWIS GARDENS_PD
490011137E1,PORTOBELLO ROAD_PA
490011137W,PORTOBELLO ROAD_PE
490005139D,CHESTERTON ROAD_D
490005139C,CHESTERTON ROAD_C
490008898F,ST CHARLES SQUARE_F
490008898E,ST CHARLES SQUARE_E
490003619M,BARLBY ROAD_M
490003619N,BARLBY ROAD_N
490004737R,KENSAL HOUSE_R
490004737S,KENSAL HOUSE_S
490004702L,CAMBRIDGE GARDENS / LADBROKE GROVE_L
490004699S,OXFORD GARDENS_C
490004699N,OXFORD GARDENS_F
490012646S,ST CHARLES SQUARE_B
490001067R,CITY THAMESLINK STATION #_HK
490004798S,KILBURN PARK ROAD_KD
490011962E,NORTH POLE ROAD / SCRUBS LANE_T
490014869E,LATYMER UPPER SCHOOL / PLAYING FIELDS_C
490014869W,LATYMER UPPER SCHOOL / PLAYING FIELDS_D
490007707E,HAMMERSMITH HOSPITAL_B
490007707F,HAMMERSMITH HOSPITAL_E
490001067Q,CITY THAMESLINK STATION #_HL
490014971D,WULFSTAN STREET_A
490014971G,WULFSTAN STREET_G
490000065C,EAST ACTON STATION<> / FITZNEAL STREET_C
490000065H,EAST ACTON STATION <>_H
490014578E,WHITE CITY ESTATE_ZZ
490009005V,PHOENIX HIGH SCHOOL_W
490015227S,HEMLOCK ROAD_W
490012678S,STEVENTON ROAD_OA
490013972S,UXBRIDGE ROAD_OB
490004444S,CAMBRIDGE ROAD_MC
490014433N,WEST END LANE_FT
490000149B,MOORGATE STATION <> #_B
490008768N,ST CUTHBERT'S ROAD_BX
490006806H,FERNHEAD ROAD_G
490000186A,QUEEN'S PARK STATION <> #_B
490012622S,STATION TERRACE_KJ
490014619S,WHITMORE GARDENS_KG
490010521N,OKEHAMPTON ROAD_KB
490010521S,OKEHAMPTON ROAD_KC
490003256N,ALL SOULS AVENUE_E
490003256S,ALL SOULS AVENUE_B
490012147E,HANOVER ROAD_F
490012147W,HANOVER ROAD_C
490014691W2,WILLESDEN GREEN LIBRARY_L
490014691K,WILLESDEN GREEN LIBRARY_J
490008793E,KINGSLEY ROAD_F
490008793W,KINGSLEY ROAD_G
490011080E,PLYMPTON AVENUE_E
490011080N,PLYMPTON AVENUE_H
490005226W,CHRISTCHURCH_J
490007099N,GALPINS ROAD_B
490005226E,CHRISTCHURCH_D
490006023E2,DEERHURST ROAD_K
490006023E1,DEERHURST ROAD_C
490012148W,SIDMOUTH ROAD_L
490014991E,YATES COURT_B
490012148E,SIDMOUTH ROAD_A
490009148W,LIDDELL GARDENS_KF
490005496W,COLLEGE ROAD_KE
490005517N,COLLEGE ROAD_KA
490003255N,DOYLE GARDENS
490003255S,DOYLE GARDENS_KD
490003257S2,ALL SOULS AVENUE_Y
490003257S1,ALL SOULS AVENUE_X
490007067N,FURNESS ROAD_Z
490007067S,FURNESS ROAD_W
490014969K,HARLESDEN ROAD_K
490014969L,HARLESDEN ROAD_L
490012797P,ST MARY'S HOSPITAL_P
490001221F,PADDINGTON STATION <> #_F
490014406W,WESTBOURNE TERRACE_R
490011365F,QUEENSWAY_F
490011119J,PORCHESTER ROAD / ROYAL OAK_J
490010621N,ORCHARDSON STREET_EP
490007679N,HALL ROAD_N
490004805N,CARLTON VALE_KH
490008712N,KILBURN PARK ROAD_KJ
490012948N,ST STEPHENS GARDENS
490012948S,ST STEPHENS GARDENS
490008697N,SHREWSBURY ROAD / BRUNEL ESTATE_N
490007420M,GREAT WESTERN ROAD_M
490014404P,BRUNEL ESTATE_P
490003282S,ALVANLEY GARDENS_FU
490000259A,WESTBOURNE PARK STATION <>_A
490000259B,WESTBOURNE PARK STATION <>_B
490013353E,QUEEN'S PARK STATION <> #_H
490006471W,ELGIN AVENUE_MK
490006471E,ELGIN AVENUE_MF
490013761EE,TRAFALGAR AVENUE_EE
490004990W,SUTHERLAND AVENUE_MJ
490004990E,CHARFIELD COURT_MH
490012765N,MALDEN ROAD_KT
490013697F,TOLWORTH BROADWAY_F
490010282SK,NILE TERRACE_SK
490005615N,CORNWALL GARDENS_GW
490012253E,SOUTHBOROUGH LIBRARY_M
490005637H,CHIPSTEAD VALLEY ROAD / BRIGHTON ROAD_H
490001280SB,STREATHAM COMMON STATION #_CQ
490004760L,CANONS CORNER_L
490004760M,CANONS CORNER_M
490000240JJ,TURNHAM GREEN STATION <>_JJ
490000240KK,TURNHAM GREEN STATION <>_KK
490015471A,THE BROADWAY_A
490005756E,CRESSY ROAD_M
490004366E,BROADFIELDS AVENUE_N
490004366W,BROADFIELDS AVENUE_L
490005075E,CHELSEA VILLAGE_U
49003278MT,PRIORY ROAD_MT
49003278MC,PRIORY ROAD_MC
490003211E,PARK ROAD_MB
490003211W,PARK ROAD_MK
490014430V,WEST EALING BROADWAY_V
490006368S,HEATHCOTE STREET_HB
490015471B,WOOD GREEN STATION<> / RIVER PARK ROAD_B
490010728W,PALACE GATE_RE
490006358S1,EAST HAM / CENTRAL PARK_L
490011274T,PURLEY TESCO_T
490009489N,LYONSDOWN ROAD_P
490004800S,CARLTON HILL_S
490007557F,GROVE END ROAD_F
490004883E,CAVENDISH AVENUE_E
490005318D,CIRCUS ROAD / WELLINGTON ROAD_D
490004185N,BOUNDARY ROAD_B
490015334N,HALL ROAD_G
490015574C,HALL ROAD / MAIDA VALE_C
490015574D,HALL ROAD / MAIDA VALE_D
490007557W,GROVE END ROAD_T
490006302N,EAMONT STREET_F
490006302W,EAMONT STREET_E
490014371W,WELLS RISE_C
490015357E,PRIMROSE HILL / LONDON ZOO_H
490015362N,LYNDALE AVENUE_K
490004963CE,CHALK FARM ROAD / MORRISONS_CE
490007244N,GLOUCESTER AVENUE
490007244S,GLOUCESTER AVENUE
490011761N,KENSINGTON PALACE_N
490009371Y,SOUTH HAMPSTEAD STATION # / LOUDOUN ROAD_Y
490009371W,SOUTH HAMPSTEAD STATION # / LOUDOUN ROAD_L
